"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2022","1,899.80","1,901.40","1,905.00","1,888.00","161.75K","-0.12%"
"Feb 17, 2022","1,902.00","1,872.00","1,904.00","1,869.70","268.55K","1.63%"
"Feb 16, 2022","1,871.50","1,855.50","1,874.60","1,851.80","141.49K","0.82%"
"Feb 15, 2022","1,856.20","1,873.80","1,881.60","1,845.40","214.88K","-0.71%"
"Feb 14, 2022","1,869.40","1,862.20","1,876.50","1,851.90","231.02K","1.48%"
"Feb 11, 2022","1,842.10","1,827.00","1,867.40","1,821.10","239.09K","0.26%"
"Feb 10, 2022","1,837.40","1,834.00","1,843.30","1,821.80","227.46K","0.04%"
"Feb 09, 2022","1,836.60","1,827.00","1,837.10","1,825.50","136.72K","0.48%"
"Feb 08, 2022","1,827.90","1,821.50","1,829.90","1,816.00","142.41K","0.33%"
"Feb 07, 2022","1,821.80","1,808.00","1,824.60","1,807.50","139.81K","0.77%"
"Feb 04, 2022","1,807.80","1,805.40","1,815.80","1,792.10","177.71K","0.21%"
"Feb 03, 2022","1,804.10","1,807.40","1,809.50","1,788.50","173.72K","-0.34%"
"Feb 02, 2022","1,810.30","1,800.80","1,812.00","1,794.60","123.02K","0.49%"
"Feb 01, 2022","1,801.50","1,798.90","1,809.70","1,796.20","128.88K","0.28%"
"Jan 31, 2022","1,796.40","1,792.80","1,800.90","1,785.80","139.42K","0.55%"
"Jan 28, 2022","1,786.60","1,799.60","1,800.30","1,780.60","217.15K","-0.47%"
"Jan 27, 2022","1,795.00","1,821.40","1,823.80","1,792.70","206.38K","-2.02%"
"Jan 26, 2022","1,832.00","1,850.70","1,852.60","1,816.40","154.39K","-1.24%"
"Jan 25, 2022","1,855.00","1,846.00","1,856.70","1,836.80","77.99K","0.59%"
"Jan 24, 2022","1,844.20","1,838.30","1,847.20","1,831.90","103.78K","0.55%"
"Jan 21, 2022","1,834.10","1,842.60","1,845.80","1,830.60","68.74K","-0.59%"
"Jan 20, 2022","1,844.90","1,842.90","1,850.80","1,838.40","80.38K","-0.03%"
"Jan 19, 2022","1,845.50","1,816.40","1,846.10","1,811.60","88.81K","1.69%"
"Jan 18, 2022","1,814.90","1,819.80","1,825.20","1,807.20","102.42K","-0.23%"
"Jan 17, 2022","1,819.05","1,815.85","1,822.90","1,812.25","-","0.18%"
"Jan 16, 2022","1,815.75","1,816.40","1,818.10","1,815.15","-","-0.18%"
"Jan 14, 2022","1,819.00","1,823.50","1,831.50","1,816.80","25.16K","-0.27%"
"Jan 13, 2022","1,823.90","1,828.00","1,830.50","1,814.30","86.51K","-0.32%"
"Jan 12, 2022","1,829.80","1,823.70","1,830.40","1,816.90","45.50K","0.48%"
"Jan 11, 2022","1,821.00","1,803.70","1,825.50","1,802.30","40.67K","1.09%"
"Jan 10, 2022","1,801.30","1,798.00","1,804.40","1,792.00","39.84K","0.08%"
"Jan 07, 2022","1,799.90","1,793.00","1,800.70","1,783.80","71.89K","0.47%"
"Jan 06, 2022","1,791.50","1,813.50","1,813.70","1,788.00","33.20K","-1.97%"
"Jan 05, 2022","1,827.50","1,817.00","1,832.60","1,811.60","10.32K","0.58%"
"Jan 04, 2022","1,817.00","1,804.50","1,819.50","1,800.60","10.86K","0.81%"
"Jan 03, 2022","1,802.40","1,832.90","1,835.40","1,800.50","9.97K","-1.56%"
"Dec 31, 2021","1,831.00","1,819.10","1,833.60","1,818.00","5.23K","0.79%"
"Dec 30, 2021","1,816.60","1,807.40","1,820.30","1,798.80","6.52K","0.46%"
"Dec 29, 2021","1,808.20","1,809.80","1,810.00","1,791.90","3.24K","-0.28%"
"Dec 28, 2021","1,813.30","1,814.90","1,823.60","1,808.00","2.64K","0.12%"
"Dec 27, 2021","1,811.10","1,809.00","1,816.80","1,806.00","2.57K","0.06%"
"Dec 24, 2021","1,810.10","1,810.10","1,810.10","1,810.10","-","-0.21%"
"Dec 23, 2021","1,814.00","1,806.90","1,814.20","1,801.60","2.46K","0.52%"
"Dec 22, 2021","1,804.60","1,791.80","1,808.10","1,788.60","1.60K","0.75%"
"Dec 21, 2021","1,791.10","1,794.30","1,803.60","1,787.60","4.59K","-0.32%"
"Dec 20, 2021","1,796.90","1,802.40","1,805.50","1,791.40","3.80K","-0.58%"
"Dec 17, 2021","1,807.30","1,803.70","1,818.00","1,799.30","8.37K","0.37%"
"Dec 16, 2021","1,800.70","1,781.20","1,803.10","1,778.40","7.25K","1.91%"
"Dec 15, 2021","1,766.90","1,774.30","1,783.30","1,755.40","1.84K","-0.44%"
"Dec 14, 2021","1,774.70","1,790.00","1,791.40","1,768.60","6.65K","-0.89%"
"Dec 13, 2021","1,790.60","1,786.60","1,794.20","1,784.60","5.02K","0.20%"
"Dec 10, 2021","1,787.00","1,779.10","1,793.10","1,772.90","6.46K","0.46%"
"Dec 09, 2021","1,778.90","1,786.40","1,790.40","1,775.40","5.16K","-0.49%"
"Dec 08, 2021","1,787.60","1,788.10","1,796.20","1,782.60","2.70K","0.04%"
"Dec 07, 2021","1,786.80","1,782.10","1,791.20","1,774.50","5.25K","0.30%"
"Dec 06, 2021","1,781.50","1,790.00","1,790.10","1,778.70","2.89K","-0.24%"
"Dec 03, 2021","1,785.80","1,772.50","1,789.60","1,768.50","6.77K","1.20%"
"Dec 02, 2021","1,764.70","1,786.10","1,786.90","1,764.20","5.57K","-1.21%"
"Dec 01, 2021","1,786.30","1,778.40","1,796.20","1,775.70","4.08K","0.45%"
"Nov 30, 2021","1,778.30","1,788.80","1,813.10","1,773.20","3.42K","-0.49%"
"Nov 29, 2021","1,787.10","1,792.40","1,803.00","1,784.00","3.17K","-0.16%"
"Nov 26, 2021","1,789.90","1,791.30","1,820.80","1,785.30","6.66K","-0.14%"
"Nov 25, 2021","1,792.40","1,789.80","1,795.30","1,787.75","-","0.20%"
"Nov 24, 2021","1,788.80","1,793.90","1,800.10","1,782.40","4.60K","0.04%"
"Nov 23, 2021","1,788.10","1,813.30","1,816.40","1,786.60","6.13K","-1.26%"
"Nov 22, 2021","1,811.00","1,852.50","1,853.70","1,807.40","10.12K","-2.43%"
"Nov 19, 2021","1,856.10","1,865.30","1,872.10","1,849.20","3.85K","-0.51%"
"Nov 18, 2021","1,865.70","1,874.60","1,875.80","1,861.00","3.74K","-0.46%"
"Nov 17, 2021","1,874.40","1,855.90","1,874.60","1,855.90","2.28K","0.87%"
"Nov 16, 2021","1,858.30","1,868.40","1,882.50","1,855.50","3.77K","-0.67%"
"Nov 15, 2021","1,870.80","1,875.60","1,876.30","1,862.90","11.81K","-0.07%"
"Nov 12, 2021","1,872.20","1,867.30","1,875.00","1,851.90","1.98K","0.24%"
"Nov 11, 2021","1,867.70","1,854.00","1,872.10","1,849.40","5.09K","0.85%"
"Nov 10, 2021","1,852.00","1,837.20","1,872.10","1,826.80","8.35K","0.95%"
"Nov 09, 2021","1,834.50","1,827.80","1,838.40","1,825.60","6.16K","0.15%"
"Nov 08, 2021","1,831.80","1,823.00","1,831.80","1,818.00","4.62K","0.62%"
"Nov 05, 2021","1,820.60","1,799.20","1,823.00","1,789.20","4.13K","1.31%"
"Nov 04, 2021","1,797.10","1,781.90","1,803.20","1,774.60","3.73K","1.67%"
"Nov 03, 2021","1,767.50","1,787.00","1,789.20","1,762.80","2.37K","-1.42%"
"Nov 02, 2021","1,793.00","1,796.40","1,801.10","1,791.50","1.08K","-0.36%"
"Nov 01, 2021","1,799.50","1,784.40","1,801.00","1,784.30","3.43K","0.67%"
"Oct 29, 2021","1,787.60","1,804.80","1,805.90","1,776.20","0.98K","-1.04%"
"Oct 28, 2021","1,806.40","1,800.60","1,814.10","1,797.20","2.32K","0.21%"
"Oct 27, 2021","1,802.60","1,797.60","1,804.00","1,788.60","0.84K","0.31%"
"Oct 26, 2021","1,797.10","1,810.60","1,810.60","1,788.00","0.73K","-0.73%"
"Oct 25, 2021","1,810.40","1,798.70","1,814.60","1,798.70","0.95K","0.58%"
"Oct 22, 2021","1,800.00","1,790.50","1,818.60","1,787.80","1.39K","0.82%"
"Oct 21, 2021","1,785.40","1,785.80","1,792.50","1,780.40","0.46K","-0.17%"
"Oct 20, 2021","1,788.40","1,776.30","1,791.70","1,775.70","2.19K","0.81%"
"Oct 19, 2021","1,774.10","1,767.70","1,789.40","1,767.70","0.63K","0.27%"
"Oct 18, 2021","1,769.30","1,771.00","1,775.00","1,763.90","1.24K","-0.15%"
"Oct 15, 2021","1,771.90","1,800.70","1,800.70","1,770.10","0.98K","-1.64%"
"Oct 14, 2021","1,801.50","1,797.00","1,804.50","1,793.10","0.91K","0.17%"
"Oct 13, 2021","1,798.50","1,766.70","1,800.10","1,761.60","3.95K","2.02%"
"Oct 12, 2021","1,762.90","1,755.20","1,773.00","1,755.20","3.26K","0.20%"
"Oct 11, 2021","1,759.40","1,757.40","1,764.20","1,753.70","2.61K","-0.10%"
"Oct 08, 2021","1,761.10","1,759.60","1,785.50","1,758.10","2.91K","-0.09%"
"Oct 07, 2021","1,762.70","1,763.00","1,769.90","1,755.90","3.05K","-0.14%"
"Oct 06, 2021","1,765.10","1,759.40","1,768.80","1,749.50","1.07K","0.05%"
"Oct 05, 2021","1,764.20","1,769.00","1,769.00","1,752.70","1.43K","-0.36%"
"Oct 04, 2021","1,770.60","1,764.50","1,774.00","1,752.00","0.75K","0.52%"
"Oct 01, 2021","1,761.50","1,758.60","1,766.00","1,753.30","1.17K","0.10%"
"Sep 30, 2021","1,759.70","1,732.90","1,766.00","1,727.70","3.44K","1.93%"
"Sep 29, 2021","1,726.30","1,737.60","1,749.20","1,725.00","0.99K","-0.85%"
"Sep 28, 2021","1,741.10","1,750.80","1,754.20","1,732.00","0.79K","-0.83%"
"Sep 27, 2021","1,755.60","1,762.30","1,762.30","1,748.60","0.98K","0.01%"
"Sep 24, 2021","1,755.40","1,753.00","1,761.00","1,745.50","0.84K","0.11%"
"Sep 23, 2021","1,753.40","1,771.30","1,780.20","1,742.10","1.21K","-1.64%"
"Sep 22, 2021","1,782.70","1,782.70","1,791.20","1,770.00","0.49K","0.04%"
"Sep 21, 2021","1,781.90","1,770.20","1,785.80","1,765.70","0.64K","0.81%"
"Sep 20, 2021","1,767.50","1,753.00","1,771.00","1,748.30","1.07K","0.72%"
"Sep 17, 2021","1,754.90","1,757.40","1,771.40","1,751.00","2.34K","-0.31%"
"Sep 16, 2021","1,760.40","1,799.00","1,799.00","1,750.00","0.66K","-2.12%"
"Sep 15, 2021","1,798.50","1,806.30","1,810.50","1,796.00","0.39K","-0.68%"
"Sep 14, 2021","1,810.80","1,800.00","1,814.20","1,786.60","1.16K","0.70%"
"Sep 13, 2021","1,798.30","1,788.60","1,803.00","1,788.60","2.69K","0.13%"
"Sep 10, 2021","1,795.90","1,807.00","1,808.00","1,795.60","0.84K","-0.44%"
"Sep 09, 2021","1,803.90","1,794.10","1,807.00","1,789.60","1.48K","0.37%"
"Sep 08, 2021","1,797.30","1,802.30","1,807.30","1,787.20","1.36K","-0.28%"
"Sep 07, 2021","1,802.30","1,835.00","1,835.00","1,798.60","1.22K","-1.28%"
"Sep 06, 2021","1,825.65","1,829.95","1,830.65","1,823.65","-","-0.24%"
"Sep 05, 2021","1,830.05","1,832.20","1,832.50","1,829.65","-","-0.40%"
"Sep 03, 2021","1,837.40","1,819.00","1,840.40","1,818.70","1.56K","1.22%"
"Sep 02, 2021","1,815.20","1,817.90","1,822.60","1,811.10","1.88K","-0.26%"
"Sep 01, 2021","1,819.90","1,820.80","1,826.00","1,816.00","1.09K","-0.12%"
"Aug 31, 2021","1,822.10","1,817.00","1,823.10","1,808.00","0.40K","0.32%"
"Aug 30, 2021","1,816.20","1,824.80","1,827.60","1,815.40","0.09K","-0.41%"
"Aug 27, 2021","1,823.60","1,800.90","1,825.20","1,793.70","0.41K","1.35%"
"Aug 26, 2021","1,799.30","1,792.30","1,803.00","1,787.20","0.47K","0.24%"
"Aug 25, 2021","1,795.00","1,807.60","1,807.60","1,789.00","0.11K","-0.97%"
"Aug 24, 2021","1,812.50","1,810.00","1,813.60","1,807.00","0.72K","0.12%"
"Aug 23, 2021","1,810.30","1,783.70","1,811.70","1,783.70","0.75K","1.25%"
"Aug 20, 2021","1,788.00","1,792.20","1,793.90","1,786.00","0.73K","0.05%"
"Aug 19, 2021","1,787.10","1,789.10","1,797.60","1,779.00","0.69K","-0.07%"
"Aug 18, 2021","1,788.40","1,793.90","1,798.50","1,783.90","0.71K","-0.19%"
"Aug 17, 2021","1,791.80","1,791.90","1,800.80","1,786.80","1.70K","-0.13%"
"Aug 16, 2021","1,794.10","1,784.90","1,794.90","1,780.00","0.34K","0.66%"
"Aug 13, 2021","1,782.40","1,761.30","1,785.50","1,761.30","0.84K","1.50%"
"Aug 12, 2021","1,756.10","1,756.70","1,763.70","1,748.90","1.80K","-0.09%"
"Aug 11, 2021","1,757.70","1,737.00","1,760.00","1,735.40","1.48K","1.26%"
"Aug 10, 2021","1,735.90","1,737.10","1,742.80","1,726.20","3.34K","0.29%"
"Aug 09, 2021","1,730.80","1,762.80","1,763.20","1,682.40","3.10K","-2.06%"
"Aug 06, 2021","1,767.20","1,805.20","1,808.00","1,764.50","2.08K","-2.52%"
"Aug 05, 2021","1,812.80","1,816.30","1,819.40","1,804.50","0.36K","-0.30%"
"Aug 04, 2021","1,818.20","1,821.00","1,839.60","1,813.40","1.09K","0.02%"
"Aug 03, 2021","1,817.90","1,817.60","1,819.40","1,814.90","0.40K","-0.44%"
"Aug 02, 2021","1,825.90","1,816.20","1,826.80","1,813.30","0.57K","0.28%"
"Jul 30, 2021","1,820.80","1,835.70","1,836.90","1,818.00","0.91K","-1.01%"
"Jul 29, 2021","1,839.40","1,820.00","1,840.70","1,820.00","0.73K","1.73%"
"Jul 28, 2021","1,808.10","1,813.80","1,813.90","1,803.70","2.46K","0.04%"
"Jul 27, 2021","1,807.30","1,806.40","1,811.90","1,803.10","0.92K","0.02%"
"Jul 26, 2021","1,806.90","1,818.90","1,818.90","1,805.20","0.09K","-0.13%"
"Jul 23, 2021","1,809.30","1,810.00","1,810.20","1,799.90","0.31K","-0.20%"
"Jul 22, 2021","1,812.90","1,806.20","1,813.80","1,800.70","0.07K","0.10%"
"Jul 21, 2021","1,811.00","1,811.90","1,812.70","1,802.60","0.21K","-0.43%"
"Jul 20, 2021","1,818.90","1,824.80","1,831.00","1,817.00","0.23K","0.11%"
"Jul 19, 2021","1,816.90","1,821.50","1,823.30","1,807.10","0.08K","-0.33%"
"Jul 16, 2021","1,823.00","1,835.70","1,835.70","1,822.50","0.27K","-0.76%"
"Jul 15, 2021","1,836.90","1,833.10","1,841.10","1,833.10","0.10K","0.21%"
"Jul 14, 2021","1,833.00","1,830.00","1,836.80","1,828.80","1.63K","0.83%"
"Jul 13, 2021","1,817.90","1,822.50","1,825.10","1,814.00","1.20K","0.23%"
"Jul 12, 2021","1,813.80","1,817.30","1,817.30","1,802.00","0.98K","-0.26%"
"Jul 09, 2021","1,818.60","1,805.80","1,818.90","1,805.80","1.33K","0.59%"
"Jul 08, 2021","1,807.90","1,825.00","1,825.00","1,802.50","1.14K","-0.09%"
"Jul 07, 2021","1,809.60","1,811.00","1,812.80","1,809.80","0.36K","0.43%"
"Jul 06, 2021","1,801.80","1,795.20","1,821.50","1,794.10","0.43K","0.59%"
"Jul 05, 2021","1,791.30","1,786.50","1,794.65","1,784.75","-","0.27%"
"Jul 04, 2021","1,786.40","1,788.00","1,788.00","1,785.80","-","-0.26%"
"Jul 02, 2021","1,791.00","1,790.30","1,800.00","1,789.60","0.68K","0.38%"
"Jul 01, 2021","1,784.30","1,785.20","1,785.20","1,782.60","0.51K","0.28%"
"Jun 30, 2021","1,779.30","1,764.00","1,771.20","1,764.00","0.19K","0.47%"
"Jun 29, 2021","1,771.00","1,778.00","1,778.00","1,758.80","0.38K","-0.97%"
"Jun 28, 2021","1,788.30","1,783.30","1,783.30","1,783.30","0.02K","0.16%"
"Jun 25, 2021","1,785.50","1,793.00","1,793.00","1,788.10","0.22K","0.06%"
"Jun 24, 2021","1,784.40","1,792.80","1,792.80","1,782.50","0.00K","-0.37%"
"Jun 23, 2021","1,791.10","1,790.90","1,800.00","1,790.90","0.01K","0.34%"
"Jun 22, 2021","1,785.00","1,792.80","1,792.80","1,785.00","0.04K","-0.31%"
"Jun 21, 2021","1,790.50","1,777.80","1,791.50","1,777.80","0.24K","0.79%"
"Jun 18, 2021","1,776.50","1,786.70","1,800.40","1,781.00","0.25K","-0.31%"
"Jun 17, 2021","1,782.00","1,830.90","1,830.90","1,779.10","0.42K","-4.64%"
"Jun 16, 2021","1,868.70","1,863.20","1,871.20","1,816.40","0.30K","0.27%"
"Jun 15, 2021","1,863.70","1,875.20","1,875.20","1,861.50","0.06K","-0.51%"
"Jun 14, 2021","1,873.20","1,875.00","1,875.20","1,858.60","0.10K","-0.73%"
"Jun 11, 2021","1,886.90","1,898.80","1,898.80","1,885.70","0.03K","-0.89%"
"Jun 10, 2021","1,903.80","1,896.70","1,896.70","1,885.50","0.04K","0.05%"
"Jun 09, 2021","1,902.90","1,901.00","1,901.70","1,901.00","0.02K","0.06%"
"Jun 08, 2021","1,901.80","1,905.70","1,911.70","1,900.70","0.03K","-0.23%"
"Jun 07, 2021","1,906.10","1,895.30","1,895.30","1,895.30","0.12K","0.36%"
"Jun 04, 2021","1,899.20","1,879.90","1,896.50","1,879.30","0.12K","0.99%"
"Jun 03, 2021","1,880.50","1,913.50","1,913.70","1,875.80","0.33K","-1.91%"
"Jun 02, 2021","1,917.20","1,904.30","1,916.10","1,903.80","0.28K","0.25%"
"Jun 01, 2021","1,912.50","1,919.30","1,919.30","1,909.40","0.21K","0.07%"
"May 31, 2021","1,911.15","1,906.80","1,913.40","1,904.85","-","0.23%"
"May 30, 2021","1,906.75","1,907.60","1,907.90","1,906.10","-","-0.33%"
"May 28, 2021","1,913.10","1,908.90","1,909.20","1,896.00","0.18K","0.34%"
"May 27, 2021","1,906.70","1,907.00","1,909.60","1,897.70","0.02K","-0.23%"
"May 26, 2021","1,911.10","1,917.50","1,922.40","1,904.70","0.05K","0.18%"
"May 25, 2021","1,907.70","1,887.50","1,910.00","1,887.50","0.04K","0.72%"
"May 24, 2021","1,894.00","1,891.70","1,894.60","1,891.70","0.02K","0.42%"
"May 21, 2021","1,886.00","1,888.60","1,895.10","1,882.00","0.04K","-0.26%"
"May 20, 2021","1,891.00","1,883.50","1,889.70","1,877.40","0.01K","0.02%"
"May 19, 2021","1,890.70","1,876.70","1,898.00","1,861.80","0.12K","0.71%"
"May 18, 2021","1,877.30","1,879.70","1,879.70","1,878.60","0.03K","0.03%"
"May 17, 2021","1,876.70","1,854.50","1,876.10","1,854.50","0.64K","1.55%"
"May 14, 2021","1,848.10","1,834.60","1,849.20","1,834.50","0.09K","0.77%"
"May 13, 2021","1,833.90","1,824.00","1,835.30","1,818.00","0.01K","0.08%"
"May 12, 2021","1,832.40","1,842.40","1,842.70","1,822.00","0.01K","-0.72%"
"May 11, 2021","1,845.70","1,845.20","1,845.20","1,845.00","0.01K","-0.09%"
"May 10, 2021","1,847.40","1,844.00","1,849.10","1,843.90","0.09K","0.34%"
"May 07, 2021","1,841.20","1,830.50","1,851.00","1,828.50","0.16K","0.86%"
"May 06, 2021","1,825.50","1,823.60","1,824.30","1,823.40","0.17K","1.73%"
"May 05, 2021","1,794.50","1,789.10","1,789.10","1,789.10","0.16K","0.45%"
"May 04, 2021","1,786.40","1,790.80","1,806.70","1,784.20","0.16K","-0.82%"
"May 03, 2021","1,801.20","1,783.00","1,783.00","1,783.00","0.07K","1.36%"
"Apr 30, 2021","1,777.10","1,775.60","1,779.20","1,773.70","0.00K","-0.03%"
"Apr 29, 2021","1,777.60","1,770.10","1,780.00","1,770.10","0.01K","-0.33%"
"Apr 28, 2021","1,783.50","1,775.40","1,775.90","1,775.40","0.01K","-0.27%"
"Apr 27, 2021","1,788.40","1,789.00","1,789.00","1,785.80","0.01K","-0.07%"
"Apr 26, 2021","1,789.60","1,789.60","1,789.60","1,789.60","0.02K","0.13%"
"Apr 23, 2021","1,787.20","1,789.70","1,789.70","1,782.00","0.02K","-0.25%"
"Apr 22, 2021","1,791.70","1,803.20","1,803.40","1,794.50","0.03K","-0.62%"
"Apr 21, 2021","1,802.90","1,790.00","1,790.10","1,790.00","0.02K","0.83%"
"Apr 20, 2021","1,788.10","1,787.80","1,787.80","1,787.80","0.00K","0.44%"
"Apr 19, 2021","1,780.30","1,780.10","1,783.00","1,780.10","0.00K","-0.53%"
"Apr 16, 2021","1,789.70","1,784.70","1,784.70","1,784.70","0.00K","0.75%"
"Apr 15, 2021","1,776.40","1,776.00","1,776.00","1,776.00","0.00K","1.75%"
"Apr 14, 2021","1,745.80","1,755.00","1,755.60","1,745.80","0.03K","-0.63%"
"Apr 13, 2021","1,756.90","1,733.10","1,754.60","1,733.10","0.02K","0.86%"
"Apr 12, 2021","1,742.00","1,740.40","1,740.40","1,740.40","0.01K","-0.68%"
"Apr 09, 2021","1,754.00","1,755.10","1,756.20","1,755.10","0.01K","-0.75%"
"Apr 08, 2021","1,767.30","1,757.30","1,760.20","1,757.30","0.00K","0.97%"
"Apr 07, 2021","1,750.30","1,751.50","1,751.50","1,742.40","0.02K","-0.09%"
"Apr 06, 2021","1,751.80","1,738.10","1,748.50","1,738.00","0.05K","0.81%"
"Apr 05, 2021","1,737.70","1,737.20","1,737.20","1,737.20","0.01K","0.05%"
"Apr 01, 2021","1,736.80","1,732.00","1,739.90","1,732.00","0.00K","0.75%"
"Mar 31, 2021","1,723.90","1,688.40","1,723.10","1,688.40","0.02K","1.75%"
"Mar 30, 2021","1,694.30","1,700.00","1,700.00","1,693.50","0.02K","-1.68%"
"Mar 29, 2021","1,723.30","1,732.80","1,732.80","1,720.00","0.00K","-1.14%"
"Mar 26, 2021","1,743.20","1,732.50","1,740.50","1,728.10","0.00K","0.41%"
