"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2022","112.58","112.01","114.08","108.77","-","0.21%"
"Mar 24, 2022","112.34","114.47","116.64","110.61","307.24K","-2.25%"
"Mar 23, 2022","114.93","108.85","115.40","108.38","289.18K","2.84%"
"Mar 22, 2022","111.76","112.90","115.01","109.30","22.94K","-0.32%"
"Mar 21, 2022","112.12","105.13","112.69","104.08","77.22K","7.09%"
"Mar 18, 2022","104.70","103.62","106.28","102.30","74.25K","1.67%"
"Mar 17, 2022","102.98","95.34","104.24","94.85","210.76K","8.35%"
"Mar 16, 2022","95.04","95.23","99.22","94.07","293.95K","-1.45%"
"Mar 15, 2022","96.44","102.28","102.58","93.53","401.69K","-6.38%"
"Mar 14, 2022","103.01","109.42","109.72","99.76","344.18K","-5.78%"
"Mar 11, 2022","109.33","105.99","110.29","104.48","368.19K","3.12%"
"Mar 10, 2022","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"Mar 09, 2022","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"Mar 08, 2022","123.70","120.67","129.44","117.07","583.11K","3.60%"
"Mar 07, 2022","119.40","121.33","130.50","115.54","576.02K","3.22%"
"Mar 04, 2022","115.68","107.96","116.02","107.25","493.88K","7.44%"
"Mar 03, 2022","107.67","111.33","116.57","106.43","592.03K","-2.65%"
"Mar 02, 2022","110.60","107.12","112.51","105.18","651.85K","6.95%"
"Mar 01, 2022","103.41","96.09","106.78","95.32","698.81K","8.03%"
"Feb 28, 2022","95.72","94.99","99.10","94.43","490.80K","4.51%"
"Feb 25, 2022","91.59","93.32","95.64","90.06","523.79K","-1.31%"
"Feb 24, 2022","92.81","92.52","100.54","91.45","872.24K","0.77%"
"Feb 23, 2022","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"Feb 22, 2022","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"Feb 21, 2022","92.65","91.62","93.91","89.08","-","1.12%"
"Feb 20, 2022","91.62","91.22","91.74","91.08","-","0.60%"
"Feb 18, 2022","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"Feb 17, 2022","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"Feb 16, 2022","93.66","92.21","95.01","90.00","401.45K","1.73%"
"Feb 15, 2022","92.07","94.83","95.17","90.66","442.64K","-3.55%"
"Feb 14, 2022","95.46","93.91","95.82","92.09","467.07K","2.53%"
"Feb 11, 2022","93.10","90.00","94.66","89.19","554.42K","3.58%"
"Feb 10, 2022","89.88","90.01","91.74","89.03","492.09K","0.25%"
"Feb 09, 2022","89.66","89.86","90.58","88.41","445.62K","0.34%"
"Feb 08, 2022","89.36","91.64","91.68","88.51","467.39K","-2.15%"
"Feb 07, 2022","91.32","91.82","92.73","90.73","497.75K","-1.07%"
"Feb 04, 2022","92.31","90.19","93.17","90.07","410.93K","2.26%"
"Feb 03, 2022","90.27","87.98","90.45","86.75","465.77K","2.28%"
"Feb 02, 2022","88.26","88.35","89.72","87.10","456.86K","0.07%"
"Feb 01, 2022","88.20","88.15","88.87","86.55","376.84K","0.06%"
"Jan 31, 2022","88.15","87.45","88.39","86.34","359.08K","1.53%"
"Jan 28, 2022","86.82","87.50","88.84","86.44","436.17K","0.24%"
