"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2022","44,377.0","44,337.0","44,477.0","44,112.7","4.07K","0.09%"
"Mar 25, 2022","44,337.0","44,003.0","45,082.0","43,607.0","4.36K","0.76%"
"Mar 24, 2022","44,003.0","42,885.0","44,221.0","42,670.0","3.78K","2.61%"
"Mar 23, 2022","42,882.0","42,370.0","42,995.0","41,772.0","2.75K","1.21%"
"Mar 22, 2022","42,370.0","41,011.0","43,319.0","40,886.0","5.00K","3.26%"
"Mar 21, 2022","41,031.0","41,264.0","41,535.0","40,544.0","2.62K","-0.53%"
"Mar 20, 2022","41,249.0","42,213.0","42,292.0","40,933.0","1.81K","-2.29%"
"Mar 19, 2022","42,214.0","41,774.0","42,373.0","41,491.0","2.14K","1.05%"
"Mar 18, 2022","41,774.0","40,942.6","42,333.0","40,236.0","3.77K","2.03%"
"Mar 17, 2022","40,942.6","41,148.0","41,451.0","40,553.0","2.29K","-0.50%"
"Mar 16, 2022","41,148.0","39,316.6","41,728.0","38,974.0","8.54K","4.66%"
"Mar 15, 2022","39,317.0","39,717.9","39,886.9","38,212.0","5.30K","-1.01%"
"Mar 14, 2022","39,717.0","37,777.1","39,977.0","37,570.0","8.05K","5.14%"
"Mar 13, 2022","37,777.1","38,816.3","39,314.0","37,592.0","3.42K","-2.68%"
"Mar 12, 2022","38,816.3","38,737.0","39,397.0","38,679.0","1.81K","0.20%"
"Mar 11, 2022","38,737.0","39,458.5","40,228.0","38,236.4","9.57K","-1.83%"
"Mar 10, 2022","39,458.5","41,964.0","42,069.0","38,646.0","6.67K","-5.97%"
"Mar 09, 2022","41,962.3","38,757.0","42,593.0","38,692.5","5.96K","8.27%"
"Mar 08, 2022","38,757.0","38,039.0","39,385.1","37,906.0","5.51K","1.89%"
"Mar 07, 2022","38,039.0","38,437.0","39,559.0","37,198.0","6.78K","-1.04%"
"Mar 06, 2022","38,437.0","39,408.0","39,715.0","38,151.0","3.37K","-2.46%"
"Mar 05, 2022","39,408.0","39,171.0","39,628.0","38,680.0","2.19K","0.61%"
"Mar 04, 2022","39,171.0","42,489.0","42,559.0","38,621.0","6.38K","-7.81%"
"Mar 03, 2022","42,490.0","43,952.0","44,103.0","41,862.0","3.89K","-3.33%"
"Mar 02, 2022","43,952.0","44,442.0","45,326.0","43,386.0","5.57K","-1.10%"
"Mar 01, 2022","44,442.0","43,202.0","44,939.0","42,878.0","6.34K","2.87%"
"Feb 28, 2022","43,202.0","37,734.0","44,198.0","37,502.0","8.45K","14.49%"
"Feb 27, 2022","37,734.0","39,137.1","39,888.0","37,067.1","5.48K","-3.56%"
"Feb 26, 2022","39,125.0","39,243.0","40,274.0","38,633.0","3.59K","-0.30%"
"Feb 25, 2022","39,243.0","38,380.0","39,717.0","38,071.1","6.43K","2.25%"
"Feb 24, 2022","38,380.0","37,292.0","39,716.0","34,435.0","17.88K","2.92%"
"Feb 23, 2022","37,292.0","38,299.0","39,270.0","37,142.0","5.81K","-2.63%"
"Feb 22, 2022","38,299.0","37,060.9","38,475.0","36,404.0","6.20K","3.36%"
"Feb 21, 2022","37,054.0","38,420.0","39,531.0","36,829.0","8.51K","-3.56%"
"Feb 20, 2022","38,420.0","40,128.0","40,164.1","38,071.0","3.53K","-4.29%"
"Feb 19, 2022","40,141.0","40,037.0","40,478.0","39,683.0","1.46K","0.26%"
"Feb 18, 2022","40,037.0","40,559.0","40,983.0","39,571.0","4.68K","-1.28%"
"Feb 17, 2022","40,556.0","43,885.0","44,187.6","40,126.8","6.75K","-7.59%"
"Feb 16, 2022","43,885.0","44,559.9","44,584.0","43,382.0","3.27K","-1.51%"
"Feb 15, 2022","44,559.9","42,559.9","44,762.0","42,467.0","4.11K","4.70%"
"Feb 14, 2022","42,559.9","42,091.0","42,852.0","41,608.0","4.78K","1.11%"
"Feb 13, 2022","42,091.0","42,239.1","42,760.0","41,920.0","1.95K","-0.35%"
"Feb 12, 2022","42,239.1","42,418.0","43,028.0","41,810.0","2.66K","-0.42%"
"Feb 11, 2022","42,418.0","43,545.0","43,965.0","42,053.0","5.61K","-2.59%"
"Feb 10, 2022","43,545.0","44,432.0","45,851.0","43,255.0","7.33K","-2.00%"
"Feb 09, 2022","44,432.0","44,060.5","44,839.6","43,160.0","3.71K","0.84%"
"Feb 08, 2022","44,060.5","43,865.0","45,400.0","42,713.0","7.62K","0.45%"
"Feb 07, 2022","43,865.0","42,416.0","44,500.0","41,715.0","5.52K","3.40%"
"Feb 06, 2022","42,423.0","41,454.0","42,730.0","41,171.0","2.36K","2.34%"
"Feb 05, 2022","41,454.0","41,562.7","41,928.0","40,979.8","2.60K","-0.26%"
"Feb 04, 2022","41,562.7","37,331.0","41,734.0","37,070.0","8.27K","11.34%"
"Feb 03, 2022","37,331.0","36,925.0","37,395.0","36,282.0","5.03K","1.10%"
"Feb 02, 2022","36,925.0","38,733.0","38,877.0","36,660.0","4.19K","-4.67%"
"Feb 01, 2022","38,733.0","38,495.0","39,350.0","38,039.0","4.29K","0.54%"
"Jan 31, 2022","38,526.0","37,914.4","38,772.1","36,683.0","4.77K","1.55%"
"Jan 30, 2022","37,939.0","38,179.9","38,349.0","37,398.0","2.05K","-0.68%"
"Jan 29, 2022","38,197.0","37,759.8","38,696.0","37,347.7","3.55K","1.16%"
"Jan 28, 2022","37,759.8","37,217.0","38,041.0","36,197.0","4.58K","1.46%"
